id	note_id	skill_id	privacy	status
1	1	2093	0	0
2	2	2093	0	0
3	3000	12000	0	0
4	3001	12000	0	0
5	3002	12000	0	0
6	3003	12000	0	0
7	3004	12000	0	0
8	3005	12000	0	0
9	3006	12000	0	0
10	3007	12000	0	0
11	3008	12000	0	0
12	3009	12000	0	0
13	3100	2094	0	0
14	3101	2094	0	0
15	3100	11000000	0	0
16	3000	100012000	0	0
17	3001	100012000	0	0
18	3002	100012000	0	0
19	3003	100012000	0	0
20	3004	100012000	0	0
21	3005	100012000	0	0
22	3006	100012000	0	0
23	3007	100012000	0	0
24	3008	100012000	0	0
25	3009	100012000	0	0
26	10000	12009	0	0
27	10001	12009	0	0
28	10002	12009	0	0
29	10003	12009	0	0
30	10004	12009	0	0
31	10005	12009	0	0
32	10006	12009	0	0
33	10007	12009	0	0
26	10000	100012009	0	0
27	10001	100012009	0	0
28	10002	100012009	0	0
29	10003	100012009	0	0
30	10004	100012009	0	0
31	10005	100012009	0	0
32	10006	100012009	0	0
33	10007	100012009	0	0
